,location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
30,2622871,군위읍,co,0.21,ppm,2024-03-22T11:00:00+00:00,2024-03-22T20:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
31,2622871,군위읍,co,0.21,ppm,2024-03-22T12:00:00+00:00,2024-03-22T21:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
32,2622871,군위읍,co,0.21,ppm,2024-03-22T13:00:00+00:00,2024-03-22T22:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
33,2622871,군위읍,co,0.21,ppm,2024-03-22T14:00:00+00:00,2024-03-22T23:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
34,2622871,군위읍,co,0.21,ppm,2024-03-22T15:00:00+00:00,2024-03-23T00:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
35,2622871,군위읍,co,0.23,ppm,2024-03-22T16:00:00+00:00,2024-03-23T01:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
36,2622871,군위읍,co,0.25,ppm,2024-03-22T17:00:00+00:00,2024-03-23T02:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
37,2622871,군위읍,co,0.25,ppm,2024-03-22T18:00:00+00:00,2024-03-23T03:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
38,2622871,군위읍,co,0.25,ppm,2024-03-22T19:00:00+00:00,2024-03-23T04:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
39,2622871,군위읍,co,0.25,ppm,2024-03-22T20:00:00+00:00,2024-03-23T05:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
40,2622871,군위읍,co,0.25,ppm,2024-03-22T21:00:00+00:00,2024-03-23T06:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
41,2622871,군위읍,co,0.25,ppm,2024-03-22T22:00:00+00:00,2024-03-23T07:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
42,2622871,군위읍,co,0.26,ppm,2024-03-22T23:00:00+00:00,2024-03-23T08:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
43,2622871,군위읍,co,0.29,ppm,2024-03-23T00:00:00+00:00,2024-03-23T09:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
44,2622871,군위읍,co,0.29,ppm,2024-03-23T01:00:00+00:00,2024-03-23T10:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
45,2622871,군위읍,co,0.29,ppm,2024-03-23T02:00:00+00:00,2024-03-23T11:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
46,2622871,군위읍,co,0.29,ppm,2024-03-23T03:00:00+00:00,2024-03-23T12:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
47,2622871,군위읍,co,0.27,ppm,2024-03-23T04:00:00+00:00,2024-03-23T13:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
48,2622871,군위읍,co,0.25,ppm,2024-03-23T05:00:00+00:00,2024-03-23T14:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
49,2622871,군위읍,co,0.43,ppm,2024-03-23T06:00:00+00:00,2024-03-23T15:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
50,2622871,군위읍,co,0.25,ppm,2024-03-23T07:00:00+00:00,2024-03-23T16:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
51,2622871,군위읍,co,0.25,ppm,2024-03-23T08:00:00+00:00,2024-03-23T17:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
52,2622871,군위읍,co,0.25,ppm,2024-03-23T09:00:00+00:00,2024-03-23T18:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
53,2622871,군위읍,co,0.29,ppm,2024-03-23T10:00:00+00:00,2024-03-23T19:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
54,2622871,군위읍,co,0.29,ppm,2024-03-23T11:00:00+00:00,2024-03-23T20:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
55,2622871,군위읍,co,0.3,ppm,2024-03-23T12:00:00+00:00,2024-03-23T21:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
56,2622871,군위읍,co,0.3,ppm,2024-03-23T13:00:00+00:00,2024-03-23T22:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
57,2622871,군위읍,co,0.3,ppm,2024-03-23T14:00:00+00:00,2024-03-23T23:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
58,2622871,군위읍,co,0.3,ppm,2024-03-23T15:00:00+00:00,2024-03-24T00:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
59,2622871,군위읍,co,0.3,ppm,2024-03-23T16:00:00+00:00,2024-03-24T01:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
60,2622871,군위읍,co,0.29,ppm,2024-03-23T17:00:00+00:00,2024-03-24T02:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
61,2622871,군위읍,co,0.3,ppm,2024-03-23T18:00:00+00:00,2024-03-24T03:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
62,2622871,군위읍,co,0.27,ppm,2024-03-23T19:00:00+00:00,2024-03-24T04:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
63,2622871,군위읍,co,0.27,ppm,2024-03-23T20:00:00+00:00,2024-03-24T05:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
64,2622871,군위읍,co,0.28,ppm,2024-03-23T21:00:00+00:00,2024-03-24T06:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
65,2622871,군위읍,co,0.32,ppm,2024-03-23T22:00:00+00:00,2024-03-24T07:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
66,2622871,군위읍,co,0.35,ppm,2024-03-23T23:00:00+00:00,2024-03-24T08:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
67,2622871,군위읍,co,0.31,ppm,2024-03-24T00:00:00+00:00,2024-03-24T09:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
68,2622871,군위읍,co,0.26,ppm,2024-03-24T01:00:00+00:00,2024-03-24T10:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
69,2622871,군위읍,co,0.25,ppm,2024-03-24T02:00:00+00:00,2024-03-24T11:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
70,2622871,군위읍,co,0.23,ppm,2024-03-24T03:00:00+00:00,2024-03-24T12:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
71,2622871,군위읍,co,0.23,ppm,2024-03-24T04:00:00+00:00,2024-03-24T13:00:00+09:00,Asia/Seoul,36.234746,128.57628,,,,Unknown Governmental Organization,Korea Air Ministry of Environment
